SITE_ID,Agency Codes,MINISTRY,AGENCY,STYPE,NAME,VENDOR_ID,HOTSPOT_ID,ZipCode,county,AREA,ADDR,LATITUDE,LONGITUDE,E-MINISTRY,E_AGENCY,E_STYPE,E_NAME,E_CITY,E_AREA,E_ADDR
TPEA002209,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F  99攤位旁,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.04881204,121.515424,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Next to No.099 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
TPEA002210,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F  100攤位旁,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.04889383,121.5157969,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Next to No.100 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
TPEA002211,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F 廣場8中央,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.04882982,121.5158558,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Center of Square8 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
TPEA002212,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F  118攤位旁,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.04876582,121.5161658,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Next to No.118 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
TPEA002213,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F  124攤位旁,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.04867692,121.5163268,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Next to No.124 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
TPEA002214,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F  116攤位旁,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.04916407,121.5145017,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Next to No.116 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
TPEA002215,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F  126攤位旁,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.04891516,121.5152278,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Next to No.126 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
TPEA002216,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F 廣場9中央,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.04892583,121.5152631,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Center of Square9 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
TPEA002217,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F  132攤位旁,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.04896139,121.5154358,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Next to No.132 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
TPEA002218,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F  144攤位旁,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.04881204,121.515424,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Next to No.144 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
